Wall time,Step,Value
1754398291.1209917,34846,-70.5875244140625
1754398321.9668243,39361,-73.3495101928711
1754398375.013833,47194,-94.9895248413086
1754398607.098307,82208,-98.64534759521484
1754398686.3743832,94367,-78.98747253417969
1754398934.9379034,132629,-112.60285186767578
1754398962.2804205,136710,-92.61613464355469
1754399064.2563107,152201,-111.4460678100586
1754399085.9878426,155477,-108.8455581665039
1754399099.6348684,157535,-93.56629180908203
1754399157.3579285,166404,-101.17948150634766
1754399213.4017434,175161,-116.41450500488281
1754399251.0314612,180922,-106.65242004394531
1754399325.622231,192304,-65.57657623291016
1754399406.4784665,204673,-79.76498413085938
1754399419.4358883,206570,-78.95445251464844
1754399479.7958202,215831,-74.99951934814453
1754399662.2700555,243194,-74.09529113769531
1754399715.362394,251153,-62.499027252197266
1754399868.5584524,274141,-51.00460433959961
1754400094.1229517,307566,-33.98179626464844
1754400134.2657063,313502,-63.734981536865234
1754400280.6011815,334999,-38.33631896972656
1754400373.4119291,348915,-52.514892578125
1754400510.5102239,369145,-48.063629150390625
1754400514.660235,369740,-46.96327209472656
1754400539.0474248,373415,-59.658199310302734
1754400730.7380192,401569,-30.575702667236328
1754400870.798823,422142,-45.007450103759766
1754400956.2554202,434665,-30.959434509277344
1754400960.7164063,435309,-33.88958740234375
1754401026.3728914,444780,-37.64711380004883
1754401146.7910695,461937,-22.098541259765625
1754401160.5799227,463918,-28.65582847595215
1754401216.5770833,471996,-21.122695922851562
1754401269.2300482,479654,-48.6981201171875
1754401530.150844,517244,-38.890071868896484
1754401610.5831351,528934,-35.423797607421875
1754401659.574328,535948,-29.992488861083984
1754401694.2353718,540953,-27.120615005493164
1754401875.1488028,567448,-34.11300277709961
1754401910.6412718,572747,-44.18751525878906
1754401928.9447677,575211,-35.41154098510742
1754402260.0384545,622881,-18.624013900756836
1754402426.8245316,647395,-5.4310526847839355
1754402434.1335306,648494,-7.043061256408691
1754402463.90501,652897,-9.533978462219238
1754402468.4575787,653555,-6.531715393066406
1754402529.2396677,662704,-28.742109298706055
1754402550.4096727,665889,-24.78321647644043
1754402643.9295583,679882,-21.918331146240234
1754402736.2910032,693756,-30.061126708984375
1754402810.0069094,704732,-19.025331497192383
1754402912.7282567,720146,-25.777196884155273
1754402955.9558623,726586,-10.854427337646484
1754402996.366166,732431,-18.817506790161133
1754403244.428981,769405,-25.682846069335938
1754403404.1656346,792967,-16.88996124267578
1754403406.37829,793310,-16.369050979614258
1754403438.6844938,798105,-29.51569175720215
1754403501.5019288,807436,-37.281009674072266
1754403612.5972476,824194,-19.543413162231445
1754403646.8191426,828926,-9.642736434936523
1754403688.6817653,835296,-32.21073913574219
1754403894.6946514,865046,-13.888452529907227
1754403977.0374615,877261,-9.400867462158203
1754404007.7194772,881748,-5.541177272796631
1754404020.2208955,883589,-21.076744079589844
1754404133.3219602,900389,-16.398754119873047
1754404205.7390208,910924,-15.1594820022583
1754404261.6480436,919037,-15.871410369873047
1754404282.019705,921949,-4.061004638671875
1754404286.8232343,922761,-3.1448605060577393
1754404313.7499194,926646,-15.191133499145508
1754404348.2026768,931770,-17.02773094177246
1754404422.4689178,942634,-15.057046890258789
1754404553.643028,961954,-20.718019485473633
1754404556.4647963,962437,-27.498031616210938
1754404633.1263478,973546,-57.81581497192383
1754404652.4619377,976367,-35.35816192626953
1754404681.6854327,980651,-41.090335845947266
1754404750.0476084,990493,-53.27011489868164
1754404810.6157885,999488,-44.384796142578125
1754404826.556867,1001686,-59.22198486328125
1754404965.37644,1021552,-62.69873046875
1754405024.412089,1029966,-34.01475524902344
1754405091.626957,1039920,-22.724321365356445
1754405146.181045,1047977,-29.100723266601562
1754405195.6186717,1055544,-50.549110412597656
1754405493.2421687,1098447,-10.224370956420898
1754405607.7444103,1114848,-18.83791160583496
1754405613.2125885,1115653,-18.057815551757812
1754405776.7160218,1139600,-12.47617244720459
1754405842.5111609,1149211,-30.601430892944336
1754405866.8083372,1152753,-23.67997169494629
1754405902.1660962,1158066,-28.345273971557617
1754406057.5415852,1180270,-17.330678939819336
1754406062.7843876,1180998,-13.646086692810059
1754406128.5142858,1190609,-10.5215425491333
1754406406.2578745,1230572,-19.85113525390625
1754406417.782853,1232294,-6.294693946838379
1754406477.6143827,1241023,-17.077152252197266
1754406483.5082421,1241926,-10.854286193847656
1754406504.375226,1244817,-4.23885440826416
1754406552.5422275,1251796,-6.229724884033203
1754406603.1704035,1259062,-1.087204098701477
1754406641.3238292,1264606,-11.209799766540527
1754406735.0012767,1278452,-1.3511909246444702
1754406911.3194475,1303092,-11.414239883422852
1754406922.6302454,1304625,-6.377928733825684
1754407304.0583217,1359512,-9.190092086791992
1754407372.9189801,1369375,-7.774465084075928
1754407447.44444,1380127,-10.780942916870117
1754407514.255216,1389668,9.401089668273926
1754407688.797585,1414644,2.686842679977417
1754407856.688407,1439179,-2.5183701515197754
1754407865.1812913,1440369,-11.095897674560547
1754408119.4932523,1476286,1.0321613550186157
1754408153.0947094,1481095,-13.281034469604492
1754408154.9943655,1481340,-15.224749565124512
1754408160.6991036,1482145,-11.20384407043457
1754408368.281055,1511062,13.315043449401855
1754408391.6605432,1514408,7.429373741149902
1754408422.89375,1518874,-3.5340049266815186
1754408481.8512774,1527211,17.120559692382812
1754408554.5728207,1537690,4.428068161010742
1754408615.611497,1546223,-1.7573410272598267
1754408628.642311,1548029,7.365234851837158
1754408653.6607666,1551361,18.977188110351562
1754408720.971172,1560685,9.045218467712402
1754408772.5898001,1568042,-5.914634704589844
1754408783.7738748,1569687,-1.4870353937149048
1754408868.2028697,1581426,7.797138690948486
1754408885.925687,1583946,7.608119964599609
1754408965.159964,1595076,12.765522003173828
1754408971.2002418,1595986,11.573612213134766
1754408974.3523276,1596392,10.205337524414062
1754409126.3222587,1617840,3.7052507400512695
1754409138.3338208,1619576,7.393324375152588
1754409186.0570564,1626422,4.841638565063477
1754409238.4849494,1633905,6.515646934509277
1754409324.6199422,1646113,9.279784202575684
1754409400.519556,1656711,14.936532974243164
1754409437.6511335,1661877,1.0763486623764038
1754409570.3307264,1680770,3.4006502628326416
1754409575.3076518,1681519,1.174395203590393
1754409594.3457365,1684305,0.20635241270065308
1754409641.1535594,1690941,0.9294752478599548
1754409683.5656357,1696800,0.7539770603179932
1754409742.324691,1704843,11.042411804199219
1754409745.511781,1705228,13.851758003234863
1754409787.1479762,1711129,5.317865371704102
1754409813.8189101,1714762,9.355046272277832
1754409896.7749522,1726389,5.37477970123291
1754409901.5262663,1727096,0.3614538908004761
1754409935.3959138,1731807,0.13337716460227966
1754409984.2285678,1738646,-11.282480239868164
1754410016.50845,1743168,1.4514468908309937
1754410040.1100051,1746528,-1.8226401805877686
1754410063.0083284,1749811,8.129850387573242
1754410156.8346636,1762810,-1.3233076333999634
1754410226.184361,1772456,10.732551574707031
1754410304.204462,1783411,-0.22424371540546417
1754410451.1179209,1803704,2.3564863204956055
1754410595.0729032,1823850,5.28966760635376
1754410705.4092588,1838634,5.735886096954346
1754410866.4805236,1861230,5.027245998382568
1754410937.5106115,1870799,15.089387893676758
1754410945.7192369,1871933,17.54391860961914
1754410956.8900142,1873389,14.050982475280762
1754411078.2759645,1890147,12.562212944030762
1754411083.4297588,1890826,14.01962661743164
1754411117.2359362,1895355,19.147430419921875
1754411155.2481863,1900836,1.2214332818984985
1754411190.3976364,1905568,6.6240386962890625
1754411278.5886354,1917755,1.3104430437088013
1754411289.2372632,1919225,14.624086380004883
1754411342.6577861,1926729,14.217473983764648
1754411388.203984,1932903,13.034956932067871
1754411393.8173983,1933708,7.205665588378906
1754411528.0691905,1952167,4.459312438964844
1754411559.3423018,1956528,9.587778091430664
1754411634.5257692,1966979,14.303441047668457
1754411670.1142538,1971704,11.649728775024414
1754411745.0578146,1982036,9.084541320800781
1754411791.8838134,1988532,7.106940269470215
1754411840.7866607,1995035,10.331380844116211
1754411856.3291135,1997247,12.870302200317383
1754411883.9380176,2001006,15.373769760131836
1754411908.7318075,2004184,-0.07336302101612091
1754411925.1232011,2006340,9.718066215515137
1754411959.242929,2011044,12.065414428710938
1754412043.7626135,2022538,-5.159448623657227
1754412148.1750047,2036727,3.943620443344116
1754412170.5084233,2039786,8.151786804199219
1754412298.9680247,2057552,11.385385513305664
1754412342.7323496,2063551,14.36864185333252
1754412393.332947,2070537,-3.9675419330596924
1754412394.7896738,2070670,-4.210744857788086
1754412414.535865,2073372,16.64935302734375
1754412462.1325665,2079959,9.80322551727295
1754412490.0953496,2083676,11.13552474975586
1754412507.2369106,2086119,-1.1067837476730347
1754412561.4795134,2093595,13.55833625793457
1754412588.0179617,2097151,15.600691795349121
1754412625.2532353,2102219,17.654497146606445
1754412626.1109624,2102366,16.48670196533203
1754412627.3378077,2102513,18.243175506591797
1754412639.7568796,2104319,15.25478744506836
1754412654.8669088,2106419,13.653511047363281
1754412662.234811,2107406,17.93222999572754
1754412677.8374717,2109618,18.44261932373047
1754412758.282226,2120510,16.054157257080078
1754412788.50417,2124584,19.38315200805664
1754412844.0105145,2131941,24.613996505737305
1754412904.073243,2140012,13.776960372924805
1754412932.8737297,2144072,12.570072174072266
1754413077.1358356,2163644,15.163919448852539
1754413081.1897085,2164148,18.380138397216797
1754413139.5326595,2172303,18.81413459777832
1754413205.1623585,2180962,18.842849731445312
1754413212.890268,2181991,17.157529830932617
1754413264.704511,2189012,14.435503005981445
1754413284.396559,2191672,13.187823295593262
1754413379.4423249,2204559,5.1421637535095215
1754413420.8299093,2209956,11.331744194030762
1754413431.4500341,2211447,9.48509407043457
